Time_max,Time_min,Time_mean,Time_q1,Time_q2,Time_q3,LatitudeDegrees_max,LatitudeDegrees_min,LatitudeDegrees_mean,LatitudeDegrees_q1,LatitudeDegrees_q2,LatitudeDegrees_q3,LongitudeDegrees_max,LongitudeDegrees_min,LongitudeDegrees_mean,LongitudeDegrees_q1,LongitudeDegrees_q2,LongitudeDegrees_q3,AltitudeMeters_max,AltitudeMeters_min,AltitudeMeters_mean,AltitudeMeters_q1,AltitudeMeters_q2,AltitudeMeters_q3,HeartRatebpm_max,HeartRatebpm_min,HeartRatebpm_mean,HeartRatebpm_q1,HeartRatebpm_q2,HeartRatebpm_q3,Speed_max,Speed_min,Speed_mean,Speed_q1,Speed_q2,Speed_q3,RunCadence_max,RunCadence_min,RunCadence_mean,RunCadence_q1,RunCadence_q2,RunCadence_q3,gps_speed_max,gps_speed_min,gps_speed_mean,gps_speed_q1,gps_speed_q2,gps_speed_q3,gps_acc_max,gps_acc_min,gps_acc_mean,gps_acc_q1,gps_acc_q2,gps_acc_q3,label,fields_num,props_num,#ref
1618644319,1618640849,1618642585.1087708,1618641717.75,1618642585.5,1618643452.25,41.38704,41.375142,41.379656062319675,41.376742,41.378413,41.38149275,2.19258,2.165465,2.1806967709174843,2.172915,2.1812745,2.1892104999999997,110.2,-0.2,17.630178880553952,4.0,7.6,28.0,188.0,51.0,118.70859780727064,109.0,114.0,124.0,6.0,0.0,1.2998268897864975,1.0,1.2,1.8,NaN,NaN,NaN,NaN,NaN,NaN,5.8177332958007576e-05,0,1.2897710275955736e-06,0.0,0.0,2.643248672744175e-06,5.8177332958007576e-05,-5.8177332958007576e-05,3.701828876560227e-10,-2.3486574353666805e-06,0.0,2.4743073629309443e-06,walk,9,6,#126
1618897013,1618895653,1618896334.9955785,1618895995.5,1618896335.0,1618896674.5,41.390278,41.381642,41.38463554458364,41.3824365,41.383709,41.3857575,2.175717,2.166943,2.1711196278555636,2.1699335,2.171456,2.1718945,46.4,-31.2,8.27428150331614,1.0,7.0,14.4,169.0,87.0,131.05526897568166,117.0,127.0,146.0,7.6,0.0,1.7435519528371408,0.9,1.5,2.1,NaN,NaN,NaN,NaN,NaN,NaN,1.5993690675637282e-05,0,1.7093745360218266e-06,5.80474702063834e-07,1.415496759135148e-06,2.001880859810439e-06,1.5993690675637282e-05,-1.5132466436630293e-05,-1.3389224209103948e-10,-6.446310618720156e-08,0.0,6.68880018367543e-08,bike,9,6,#140
1616672751,1616672174,1616672462.6083188,1616672317.5,1616672463.0,1616672607.5,41.386666,41.375667,41.37951881629116,41.3763735,41.378723,41.3823135,2.164802,2.143702,2.1535620849220103,2.148712,2.152622,2.1590415,62.8,1.8,11.082149046793761,5.8,8.6,11.0,108.0,47.0,72.74870017331023,61.0,68.0,86.0,19.2,0.0,4.5280762564991335,3.4,4.7,6.0,NaN,NaN,NaN,NaN,NaN,NaN,2.117898432723161e-05,0,4.3912861021262e-06,1.2681844489584715e-06,3.516748264014725e-06,6.203069114208629e-06,2.117898432723161e-05,-1.710562725710981e-05,-5.4384217182651795e-09,-2.0989681038673848e-06,0.0,1.486307172302732e-06,bike,9,6,#60
1612522932,1612520444,1612521715.3235433,1612521155.0,1612521683.0,1612522218.0,41.609322,41.585869,41.5982495333965,41.592384,41.59919,41.604175,0.642199,0.614975,0.6274684159166272,0.621987,0.62699,0.6341,209.6,135.8,146.26669824727617,138.4,143.6,148.4,185.0,90.0,168.73282804358124,164.0,169.0,174.0,13.1,0.0,3.5045002368545712,3.4,3.6,3.6,81.0,0.0,76.87825675035528,77.0,77.0,78.0,6.115811637922222e-05,0,3.5567383211226755e-06,3.2688202920330337e-06,3.554187957460774e-06,3.7705808287855878e-06,6.115811637922222e-05,-5.723013952549259e-05,2.7688825614114647e-08,-3.087357660828064e-07,0.0,3.154077708384525e-07,run,9,6,#96
1616410657,1616410011,1616410347.7738287,1616410193.0,1616410348.0,1616410503.0,41.389891,41.386534,41.38821301453958,41.387296,41.388118,41.389136,2.175228,2.165942,2.170588516962843,2.167968,2.170922,2.173107,64.8,-24.6,12.294668820678513,0.8,15.2,22.2,133.0,66.0,118.47334410339256,116.0,120.0,124.0,11.2,0.0,1.7350565428109854,1.0,1.6,2.2,NaN,NaN,NaN,NaN,NaN,NaN,2.1805778570752745e-05,0,1.7410416535067209e-06,0.0,1.9452857767095077e-06,2.6763624715202267e-06,1.4126182567658518e-05,-1.8535621925800374e-05,3.078875817967974e-24,-8.219888653778966e-07,0.0,4.227353396169341e-07,walk,9,6,#46
1616759648,1616758780,1616759218.4895349,1616759003.25,1616759218.5,1616759433.75,41.38936,41.383382,41.38693063488372,41.385878,41.3869185,41.388291,2.139038,2.116063,2.1258279627906975,2.11725,2.126861,2.13267625,64.0,29.0,50.96906976744186,45.25000000000001,52.0,57.2,120.0,45.0,78.67558139534884,64.0,74.0,94.0,10.1,0.0,3.0263953488372093,1.2,3.5,4.8,NaN,NaN,NaN,NaN,NaN,NaN,1.3015147472806761e-05,0,3.001284524017729e-06,2.502707635817666e-07,3.1854960625113925e-06,4.999107504454615e-06,1.3015147472806761e-05,-1.0889091960926526e-05,-4.947143068905584e-11,-1.5845763177176368e-07,0.0,1.67592497359883e-07,bike,9,6,#59
1620023838,1620022332,1620023128.284682,1620022799.25,1620023146.5,1620023492.75,41.386944,41.381725,41.38357144653179,41.38216125,41.383185,41.384508749999995,2.172172,2.165922,2.169752313583815,2.16848525,2.169991,2.171175,48.4,-5.8,22.052601156069365,14.2,21.8,31.0,136.0,67.0,113.42413294797687,110.0,116.0,121.0,8.9,0.0,1.754985549132948,1.1,1.6,2.2,NaN,NaN,NaN,NaN,NaN,NaN,8.467870988791815e-05,0,1.7560580783613508e-06,8.856896887548664e-07,1.4027324823550296e-06,2.137724313376997e-06,8.467870988791815e-05,-7.716217484895825e-05,5.895262570537186e-09,-5.7787468816441204e-08,0.0,5.8527432701170734e-08,walk,9,6,#124
1609230071,1609227400,1609228653.80638,1609227996.5,1609228561.0,1609229441.5,41.497334,41.478272,41.48839654718653,41.484672,41.488,41.492539,0.528153,0.50877,0.518368105892778,0.514913,0.518602,0.522861,165.0,136.6,147.49020824102791,141.6,146.2,151.0,167.0,90.0,147.75409836065575,139.0,157.0,159.0,6.6,0.0,3.1688081524147096,2.9,3.2,3.4,102.0,50.0,77.99246787771378,77.0,78.0,79.0,2.312800265133079e-05,0,3.1936075846822425e-06,2.7848607959509584e-06,3.2514402572767516e-06,3.65442212941851e-06,2.312800265133079e-05,-1.992334021782944e-05,-7.913795224868401e-10,-4.511728755420314e-07,-7.614154478904415e-09,4.0808888941952143e-07,run,9,6,#107
1619627184,1619626394,1619626746.6469247,1619626569.0,1619626741.0,1619626910.0,41.395269,41.387342,41.392417715261956,41.391259,41.392845,41.393589,2.16659,2.140165,2.1528618974943052,2.146175,2.154323,2.160037,67.9,35.6,56.79248291571754,47.7,61.0,62.6,NaN,NaN,NaN,NaN,NaN,NaN,15.5,0.0,3.5485193621867883,0.0,1.7,7.1,NaN,NaN,NaN,NaN,NaN,NaN,1.667197621510642e-05,0,3.5694944271562095e-06,2.3751990884437963e-07,1.7698907133639274e-06,7.016312103401293e-06,1.2817931742378208e-05,-6.860360741793503e-06,1.3613720105017832e-08,-1.85784846595871e-07,0.0,2.648376739163704e-07,vehicle,9,6,#60
1617799719,1617792792,1617796296.4722934,1617794571.75,1617796163.5,1617798073.5,41.734694,41.660836,41.683564920716115,41.66850375,41.67502,41.6964495,0.609154,0.45114,0.5490168657289003,0.51722275,0.553752,0.5945515,348.0,206.0,280.5331628303495,246.2,280.6,309.2,179.0,87.0,138.4002557544757,128.0,139.0,149.0,17.1,0.0,7.615004262574595,5.9,7.5,9.0,NaN,NaN,NaN,NaN,NaN,NaN,2.0021714803945862e-05,0,7.604657761973732e-06,5.840107988145108e-06,7.428500608109788e-06,9.007356708327142e-06,9.882709129510083e-06,-9.730100978723194e-06,2.6633632873489285e-09,-8.546335020664364e-08,3.43085150887626e-10,9.569174697725803e-08,bike,9,6,#7
